Serial #,Researcher Name,Adm. No,Date,Place,Gender,Age Group,Education,Role (Owner/Emp),Ownership_Category,Employee_Size,Years_Operated,retail_services,Informal_Sector,Accomodation_Catering,PTF_Services,Education_Institution,Health,Entertainment,Transport,Storage,Communications,AFN_Activities,Industrial_Factories,High_cost,Taxes,Acces_finance,Access_premises,Infrastructure_gaps,Sanitation,Competition,Other Issues
1,Janet,B15/1160/2022,2/11/2026,Lower Marindi,Male,Above  55 Yrs,College,Owner,Sole Proprietor,1-5 employees,6-10 yrs,Hardware,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,3,N/A,N/A,2,N/A,N/A,N/A
2,Janet,B15/1160/2022,2/11/2026,Lower Marindi,Male,18 - 25 Yrs,Secondary,Employee,Sole Proprietor,Above 10,1-5 yrs,N/A,N/A,Hotels,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,3,N/A,N/A,N/A,Low flow of customers
3,Janet,B15/1160/2022,2/11/2026,Lower Marindi,Female,36 - 45 Yrs,Secondary,Owner,Sole Proprietor,1-5 employees,6-10 yrs,Grocery,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,3,2,N/A,N/A
1,Beatrice,B15/5614/2023,2/11/2026,Lower Marindi,Female,26 - 35 Yrs,College,Owner,Sole Proprietor,1-5 employees,1-5 yrs,N/A,Tailoring,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,Beatrice,B15/5614/2023,2/11/2026,Lower Marindi,Female,36 - 45 Yrs,College,Owner,Sole Proprietor,6-10 employees,Less than  1 yr,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Taxis,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,2,N/A
3,Beatrice,B15/5614/2023,2/11/2026,Lower Marindi,Female,36 - 45 Yrs,College,Employee,Sole Proprietor,Above 10,More than 10 yrs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cyber Cafes/ Bureau,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A
1,Paskalia,B15/8542/2023,11/2/2026,Wasweta 1,Female,Above  55 Yrs,University,Owner,Sole Proprietor,N/A,Less than  1 yr,Retail Shop,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Equipment & Workshop Servicing & Repairing products,3,N/A,N/A,2,N/A,N/A,1,N/A
2,Paskalia,B15/8542/2023,11/2/2026,Wasweta 1,Male,18 - 25 Yrs,Secondary,Employee,N/A,1-5 employees,6-10 yrs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,2,N/A,N/A,N/A,N/A,N/A,Volatility
3,Paskalia,B15/8542/2023,11/2/2026,Wasweta 1,Female,18 - 25 Yrs,College,Employee,N/A,1-5 employees,N/A,Chemist/Agrovet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,N/A,N/A,N/A,N/A,1,N/A
1,Lennon,B15/7605/2023,2/11/2026,Wasweta 1,Male,26 - 35 Yrs,College,Employee,N/A,1-5 employees,More than 10 yrs,N/A,Carpentry,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,2,N/A,N/A,1,N/A
2,Lennon,B15/7605/2023,2/11/2026,Wasweta 1,Female,36 - 45 Yrs,Primary,Employee,N/A,1-5 employees,6-10 yrs,Electronics,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,2,N/A,N/A,N/A,N/A,3,N/A
3,Lennon,B15/7605/2023,2/11/2026,Wasweta 1,Female,18 - 25 Yrs,Secondary,Employee,N/A,1-5 employees,Less than  1 yr,Boutique/Exhibition,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,1,2,N/A,N/A,N/A,N/A
1,Mark,B15/7601/2023,12/2/2026,Lower Marindi,Male,36 - 45 Yrs,Secondary,Owner,Sole Proprietor,1-5 employees,1-5 yrs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sugar cane/ Coffee/ Tea/ Fruits/ Flowers/ Grain & Cereal,N/A,N/A,N/A,N/A,2,3,1,N/A,N/A
2,Mark,B15/7601/2023,12/2/2026,Lower Marindi,Female,26 - 35 Yrs,Secondary,Employee,Sole Proprietor,1-5 employees,1-5 yrs,N/A,N/A,N/A,Barber/ Salon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,1,2,N/A,N/A
3,Mark,B15/7601/2023,12/2/2026,Lower Marindi,Male,36 - 45 Yrs,College,Owner,Sole Proprietor,1-5 employees,1-5 yrs,Retail Shop,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,2,1,N/A,N/A
1,Aja,B15/6442/2021,2/11/2026,Lower Marindi,Male,36 - 45 Yrs,Primary,Owner,Sole Proprietor,1-5 employees,1-5 yrs,Grocery,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,2,3,N/A,N/A
2,Aja,B15/6442/2021,2/11/2026,Lower Marindi,Male,18 - 25 Yrs,Secondary,Employee,N/A,6-10 employees,Less than  1 yr,Retail Shop,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,2,N/A,N/A,3,N/A
3,Aja,B15/6442/2021,2/11/2026,Lower Marindi,Female,36 - 45 Yrs,Primary,Owner,Sole Proprietor,N/A,6-10 yrs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Motor cycle,N/A,N/A,N/A,N/A,1,2,N/A,N/A,3,N/A,N/A,N/A
1,Kelvin Maina,B15/7596/2023,2/11/2026,Lower Marindi,Female,36 - 45 Yrs,University,Owner,Partnership,1-5 employees,6-10 yrs,Posho Mill,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yes,N/A,N/A,N/A,N/A,N/A,3,N/A
2,Kelvin Maina,B15/7596/2023,2/11/2026,Lower Marindi,Female,26 - 35 Yrs,Secondary,Employee,N/A,6-10 employees,1-5 yrs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Process & Assembly of products,N/A,yes,N/A,N/A,N/A,1,2,N/A
3,Kelvin Maina,B15/7596/2023,2/11/2026,Lower Marindi,Female,18 - 25 Yrs,Secondary,Employee,N/A,1-5 employees,Less than  1 yr,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,2,1,N/A
1,Lydia,B15/8154/2023,11/2/2026,Lower Marindi,Male,18 - 25 Yrs,College,Owner,Sole Proprietor,1-5 employees,1-5 yrs,N/A,Hawking,Night Clubs & Casinos,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,1,6,2,7,3,4,N/A
2,Lydia,8154/2023,11/2/2026,Lower Marindi,Female,36 - 45 Yrs,College,Owner,Partnership,1-5 employees,More than 10 yrs,Hardware,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,1,3,2,7,6,5,N/A
3,Lydia,B15/8154/2023,11/2/2026,Lower Marindi,Female,26 - 35 Yrs,Secondary,Employee,Sole Proprietor,1-5 employees,6-10 yrs,Retail Shop,N/A,N/A,Mobile money (MPESA services,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,N/A,N/A,N/A,N/A,N/A,N/A
1,Mwangangi,B15/7599/2023,11/2/2026,Oruba,Male,36 - 45 Yrs,Secondary,Employee,Sole Proprietor,1-5 employees,1-5 yrs,N/A,N/A,Hotels,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,3,N/A,N/A,2,N/A
2,Mwangangi,B15/7599/2023,11/2/2026,Oruba,Male,26 - 35 Yrs,Secondary,Employee,Sole Proprietor,1-5 employees,6-10 yrs,Butchery,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,3,N/A,N/A,N/A,2,N/A
3,Mwangangi,B15/7599/2023,11/2/2026,Oruba,Male,26 - 35 Yrs,Primary,Owner,Sole Proprietor,1-5 employees,More than 10 yrs,Retail Shop,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,3,2,N/A
